animal;category;hint
носорог;млекопитающие;крупное травоядное млекопитающее южных стран с одним или двумя рогами на передней части морды
медведь;млекопитающие;большой хищный всеядный зверь с длинной шерстью
антилопа;млекопитающие;травоядное животное, символизирующее скорость и выносливость
бабуин;млекопитающие;довольно большая обезьяна из группы павианов, имеющая удлиненную морду и длинный хвост
баран;млекопитающие;жвачное млекопитающее с густой вьющейся шерстью и изогнутыми рогами
барсук;млекопитающие;млекопитающих семейства куньих, впадает в спячку в районах с холодной зимой, роет норы
бегемот;млекопитающие;крупное нежвачное парнокопытное млекопитающее с толстой кожей и огромной пастью
белка;млекопитающие;небольшое животное с пушистым хвостом, большими ушами с кисточками, красивым пушистым мехом и острыми когтями
гиббон;млекопитающие;«поющая» обезьяна
бизон;млекопитающие;распространённый в северном полушарии род быков
буйвол;млекопитающие;жвачное млекопитающее семейства полорогих отряда парнокопытных, близкое к быкам, отличается длинными изогнутыми рогами
бурозубка;млекопитающие;мелкий грызун, от мыши отличается длинной мордочкой, вытянутой в виде хоботка
бурундук;млекопитающие;маленький полосатый грызун семейства беличьих, живет под деревьями, в земляных неглубоких норах
верблюд;млекопитающие;жвачное животное, «корабль пустыни»
волк;млекопитающие;сравнительно крупное хищное пушистое млекопитающее семейства псовых
выдра;млекопитающие;хищное млекопитающее семейства куньих, ведущее полуводный образ жизни
выхухоль;млекопитающие;небольшое насекомоядное млекопитающее семейства кротовых, с мягким шелковистым мехом тёмно-бурого цвета
газель;млекопитающие;жвачное животное, относящееся к подсемейству антилоп, величиной с дикую козу, с чёрными лирообразными рогами
вомбат;млекопитающие;травоядное сумчатое животное, обитающее в Австралии, роет норы, внешне выглядит словно маленький медведь или крупный хомяк
гепард;млекопитающие;крупное хищное млекопитающее семейства кошачьих, отличается своей быстротой
гиена;млекопитающие;хищное млекопитающее, ведет ночной образ жизни, обитает в степях Африки и Юго-Западной Азии, питается преимущественно падалью
горилла;млекопитающие;обезьяна, самый крупный представитель отряда приматов
горностай;млекопитающие;небольшой пушной хищный зверь из рода хорьков
тапир;млекопитающие;крупное травоядное непарнокопытное с небольшим хоботом, обитающее в тропических лесах Америки и Юго-Восточной Азии
дельфин;млекопитающие;крупное млекопитающее из отряда китообразных, отличается развитым интеллектом
дикобраз;млекопитающие;субтропическое или тропическое млекопитающее отряда грызунов с шерстью в виде длинных и твёрдых игл
енот;млекопитающие;хищное пушистое млекопитающее, во многих европейских и азиатских языках его буквально называют «медведь-полоскун», «моющий медведь»
жираф;млекопитающие;крупное африканское пятнистое жвачное млекопитающее, отличается очень длинной шеей и характерными рожками
заяц;млекопитающие;пушистое длинноухое растительноядное млекопитающее
зубр;млекопитающие;крупное травоядное животное, европейский вид из рода бизонов
капибара;млекопитающие;то же, что водосвинка, самый крупный вид среди современных грызунов
кашалот;млекопитающие;крупное морское млекопитающее подотряда зубатых китов
коала;млекопитающие;животное семейства лазающих сумчатых, обитающее в лесах Восточной Австралии; «сумчатый медведь»
коза;млекопитающие;рогатое жвачное животное с длинной прямой шерстью, домашнее или дикое
корова;млекопитающие;домашнее животное, жвачное парнокопытное млекопитающее
косуля;млекопитающие;жвачное животное семейства оленей; дикая коза
крот;млекопитающие;живущее под землёй мохнатое млекопитающие отряда насекомоядных с приспособленными для рытья земли передними конечностям
крыса;млекопитающие;небольшое всеядное млекопитающее семейства мышиных
лань;млекопитающие;животное из семейства оленей, отличающееся быстротой бега и стройностью
лемур;млекопитающие;семейство полуобезьян, эндемичных для Мадагаскара, с полосатым черно-белым хвостом
лев;млекопитающие;«царь зверей»
леопард;млекопитающие;один из видов рода пантер семейства кошачьих, с жёлтой с чёрными пятнами шерстью
лось;млекопитающие;жвачное парнокопытное млекопитающее с широкими лопатообразными рогами у самцов, самый крупный вид семейства оленей
